phase,batch_size,k_blocks,prefix_tokens,cache_bytes,method,wall_mean_ms,wall_trimmed_mean_ms,wall_p50_ms,wall_p95_ms,wall_std_ms,cuda_mean_ms,cuda_trimmed_mean_ms,cuda_p50_ms,cuda_p95_ms,cuda_std_ms
coarse,1,290,4640,266076160,recompute,149.16155028913636,147.47394060250372,147.4312400096096,157.11283710115822,4.781230337109291,149.15277099609375,147.4650909423828,147.4228515625,157.1043228149414,4.7813199923079495
coarse,1,300,4800,275251200,HBM_reuse,11.216021429780605,11.212820399668999,11.213562000193633,11.271278001368046,0.037141099390761434,11.207670892987933,11.204729652404785,11.204992294311523,11.262521553039551,0.03735759485849732
coarse,1,300,4800,275251200,DRAM_fetch,42.931481572200674,42.865767201874405,42.846947006182745,43.25459159153979,0.19155525542879331,42.921714782714844,42.856083679199216,42.83635330200195,43.24441070556641,0.19128628591679772
coarse,1,300,4800,275251200,SSD_fetch,77.55414085737097,77.55707079777494,77.52422500925604,78.37955389986746,0.6453828434480723,77.54290117536273,77.54531555175781,77.5035171508789,78.36958694458008,0.6453721647727688
coarse,1,300,4800,275251200,recompute,156.81358628873048,156.475447001867,155.3876629914157,160.9816436044639,2.8298613070692107,156.80511474609375,156.46602783203124,155.3790740966797,160.97398223876954,2.8298636871712883
coarse,1,310,4960,284426240,HBM_reuse,11.275528716006582,11.253600203781389,11.253189004492015,11.378435096412431,0.06133539981124807,11.266989844185966,11.24512004852295,11.246175765991211,11.369616413116454,0.061269246130155455
coarse,1,310,4960,284426240,DRAM_fetch,44.26788971302033,44.12428459909279,44.01830999995582,45.23292520461837,0.5640603019717508,44.25756399972098,44.11400375366211,44.00729751586914,45.22217063903808,0.5639591700685936
coarse,1,310,4960,284426240,SSD_fetch,84.64785914111417,84.51544659910724,84.79862300737295,87.16673709859606,1.7625913774846549,84.63177599225726,84.49937896728515,84.78556823730469,87.15655288696288,1.7645325162787149
coarse,1,310,4960,284426240,recompute,160.4778431439107,159.5174465997843,158.94597899750806,166.76958080061013,3.663388323961939,160.46521650041853,159.50437927246094,158.9331512451172,166.75585784912107,3.662494815359404
coarse,1,320,5120,293601280,HBM_reuse,11.358055714351524,11.314821999985725,11.329750996083021,11.683527598506771,0.20385152568630718,11.349170412336077,11.305273628234863,11.319840431213379,11.676637172698975,0.20493276914200004
coarse,1,320,5120,293601280,DRAM_fetch,42.80112113961617,42.75880439672619,42.484140998567455,44.03602209640667,0.9561014223346639,42.79037693568638,42.747372436523435,42.471553802490234,44.02729835510254,0.9569233401179076
coarse,1,320,5120,293601280,SSD_fetch,89.06041200056539,89.21166020154487,88.40501100348774,93.31172069796594,3.573508477642652,89.04644230433873,89.19633331298829,88.38262176513672,93.30227737426759,3.5755571812920635
